two_theta_deg,experimental,fitted
3.4550000000000001,48391.800000000003,24176.425197532339
3.46,47996.800000000003,23710.739629902841
3.4649999999999999,46925.800000000003,23199.232997503233
3.4700000000000002,46054.900000000001,22644.110923703716
3.4750000000000001,45078.900000000001,22047.873838990687
3.48,43581.900000000001,21413.293614977953
3.4849999999999999,42629.900000000001,20743.388673734553
3.4900000000000002,41579.900000000001,20041.397777429476
3.4950000000000001,40521.900000000001,19310.752709026314
3.5,38716.900000000001,18555.050058962923
3.5049999999999999,37580.900000000001,17778.022335416124
3.5099999999999998,36062.900000000001,16983.508616881318
3.5150000000000001,34692.900000000001,16175.424965402592
3.52,33049.900000000001,15357.734816892435
3.5249999999999999,31537.900000000001,14534.419561610011
3.5299999999999998,29950.900000000001,13709.449523063688
3.5350000000000001,28352.900000000001,12886.755537414734
3.54,27074.900000000001,12070.201327941902
3.5449999999999999,25473.900000000001,11263.55686034771
3.5499999999999998,23692.900000000001,10470.472854719717
3.5550000000000002,22340.900000000001,9694.4566188871486
3.5600000000000001,20811.900000000001,8938.8493558237442
3.5649999999999999,19623.900000000001,8206.805084738513
3.5699999999999998,18335.900000000001,7501.2713016697953
3.5750000000000002,16886.900000000001,6824.971490862953
3.5800000000000001,15588,6180.3895830809224
3.585,14460,5569.7564413867258
3.5899999999999999,13555,4995.03843896744
3.5950000000000002,12343,4457.9281773617895
3.6000000000000001,11380,3959.837377130923
3.605,10654,3501.891956696782
3.6099999999999999,9700.9599999999991,3084.929298885972
3.6150000000000002,8994.9699999999993,2709.4976887783414
3.6200000000000001,8409.9699999999993,2375.8578908848444
3.625,7847.9700000000003,2083.9868185801765
3.6299999999999999,7388.9799999999996,1833.5832341989912
3.6349999999999998,6884.9799999999996,1624.0754043708182
3.6400000000000001,6708.9799999999996,1454.6306221118386
3.645,6220.9799999999996,1324.1664949975977
3.6499999999999999,6188.9799999999996,1231.3638874875019
3.6549999999999998,6144.9799999999996,1174.6813952285743
3.6600000000000001,6059.9799999999996,1152.371219992275
3.665,5950.9799999999996,1162.4963058444034
3.6699999999999999,6032.9799999999996,1202.9485902544845
3.6749999999999998,6060.9799999999996,1271.4682181479332
3.6800000000000002,6214.9799999999996,1365.6635624119265
3.6850000000000001,6291.9799999999996,1483.0318910946494
3.6899999999999999,6493.9799999999996,1620.980519487925
3.6949999999999998,6723.9799999999996,1776.8482844462671
3.7000000000000002,7037.9799999999996,1947.9271786529334
3.7050000000000001,7134.9700000000003,2131.4839840687946
3.71,7257.9700000000003,2324.781746457732
3.7149999999999999,7725.9700000000003,2525.1009366299877
3.7200000000000002,8096.9700000000003,2729.7601488328082
3.7250000000000001,8200.9699999999993,2936.1361924893749
3.73,8374.9699999999993,3141.6834401807273
3.7349999999999999,8783.9699999999993,3343.952302313834
3.7400000000000002,8933.9699999999993,3540.6067072509886
3.7450000000000001,9053.9699999999993,3729.4404747160715
3.75,9129.9699999999993,3908.3924799639108
3.7549999999999999,9453.9699999999993,4075.5605164196613
3.7599999999999998,9463.9699999999993,4229.2137751836217
3.7650000000000001,9661.9699999999993,4367.8038708702779
3.77,9536.9599999999991,4489.9743546249438
3.7749999999999999,9804.9699999999993,4594.5686667537848
3.7799999999999998,9640.9699999999993,4680.6364931304806
3.7850000000000001,9633.9699999999993,4747.4385013235624
3.79,9480.9699999999993,4794.4494441427069
3.7949999999999999,9429.9699999999993,4821.3596299515148
3.7999999999999998,9140.9699999999993,4828.0747705634767
3.8050000000000002,9132.9699999999993,4814.714228753417
3.8100000000000001,8645.9699999999993,4781.607698309339
3.8149999999999999,8447.9699999999993,4729.2903600526888
3.8199999999999998,8117.9700000000003,4658.4965673056877
3.8250000000000002,7898.9799999999996,4570.1521238239211
3.8300000000000001,7434.9700000000003,4465.3652261858551
3.835,6970.9799999999996,4345.4161509880341
3.8399999999999999,6719.9799999999996,4211.7457748894622
3.8450000000000002,6303.9799999999996,4065.9430225399101
3.8500000000000001,5850.9799999999996,3909.7313436782633
3.855,5398.9799999999996,3744.9543261670992
3.8599999999999999,4960.9799999999996,3573.5605564122548
3.8650000000000002,4642.9799999999996,3397.5878424803032
3.8700000000000001,4211.9799999999996,3219.146918256567
3.875,3878.98,3040.4047491716601
3.8799999999999999,3368.9899999999998,2863.5675613602198
3.8849999999999998,3053.9899999999998,2690.8637166023614
3.8900000000000001,2735.9899999999998,2524.5265550422337
3.895,2498.9899999999998,2366.7773264904022
3.8999999999999999,2171.9899999999998,2219.8083291143175
3.9049999999999998,1975.99,2085.766371526066
3.9100000000000001,1773.99,1966.7366707158208
