two_theta_deg,experimental_intensity,fitted_intensity
1.1819999999999999,4327397,4504098.4621124938
1.1840000000000002,4227032,4267506.4542215653
1.1859999999999999,4131744,4024523.026203197
1.1880000000000002,4048674.5,3777335.8108015559
1.1899999999999999,3959833.25,3528213.4798066108
1.1920000000000002,3869523.25,3279480.1421356755
1.194,3787313.5,3033485.5469502155
1.1960000000000002,3703859,2792571.4853701149
1.198,3628759.5,2559035.0558426226
1.2000000000000002,3555383.25,2335089.7245146772
1.202,3477250.25,2122825.3520275806
1.2040000000000002,3411347.25,1924168.5497466626
1.206,3348136.25,1740844.85051058
1.2080000000000002,3283060.25,1574344.2143686274
1.21,3227257,1425891.3277665889
1.2120000000000002,3165162,1296421.9930218412
1.214,3111586,1186566.6510418572
1.2160000000000002,3062859,1096641.7508196302
1.218,3013431.75,1026649.298959067
1.22,2974672.75,976284.52130103589
1.222,2926583.75,944951.17851715686
1.224,2884730.75,931783.72843243019
1.226,2843965.75,935675.24488755502
1.228,2810912.5,955309.80362715898
1.23,2775193.5,989197.93852726696
1.232,2732349,1035713.7559241282
1.234,2695714,1093132.362322388
1.236,2664569.75,1159666.3966470947
1.238,2632559,1233500.6439764265
1.24,2602598.75,1312823.9234960396
1.242,2561719.75,1395857.6701914426
1.244,2530344.5,1480880.8509261156
1.246,2498206.5,1566251.0579372693
1.248,2460660.75,1650421.7972686414
1.25,2423487.75,1731956.1310067694
1.252,2386783.25,1809536.938604722
1.254,2347405,1881974.135067333
1.256,2312964.25,1948209.2253587646
1.258,2282462.5,2007317.5893800049
1.26,2238024.5,2058508.8851697901
1.262,2200645.5,2101125.9346279777
1.264,2151779.5,2134642.4207808389
1.266,2112670.5,2158659.6826190469
1.268,2074079.125,2172902.8464130247
1.27,2030243.375,2177216.4840462944
1.272,1981448.625,2171559.9415668081
1.274,1937352.75,2156002.4365379773
1.276,1892087.125,2130717.9821083057
1.278,1847207.25,2095980.1598779466
1.28,1800450.625,2052156.7332145311
1.282,1752457.625,1999704.0680571122
1.284,1707167.625,1939161.3097075836
1.286,1663361.75,1871144.2518078282
1.288,1615800.75,1796338.8277233292
1.29,1574304,1715494.1549078636
1.292,1527228,1629415.0694185854
1.294,1481783,1538954.1003748248
1.296,1441013,1445002.8524364808
1.298,1402077.875,1348482.7877502306
1.3,1361512.875,1250335.4264836074
1.302,1321388.75,1151512.0159948024
1.304,1284934.625,1052962.7515849185
1.306,1247213.625,955625.66512796737
1.3080000000000001,1218510.625,860415.3299775687
1.3100000000000001,1184917.75,768211.55959757243
1.3120000000000001,1151036.375,679848.30154331937
1.3140000000000001,1123215.625,596102.9460216508
1.3160000000000001,1096288,517686.27780864487
1.3180000000000001,1074439.25,445233.30069473386
1.3200000000000001,1051812.625,379295.15421860904
1.3220000000000001,1028628.875,320332.32316410018
1.3240000000000001,1012121.9375,268709.31164587539
1.3260000000000001,996297.0625,224690.91671543635
1.3280000000000001,977418,188440.19293240274
1.3300000000000001,968577,160018.15136260676
1.3320000000000001,953010.125,139385.18636858423
1.3340000000000001,942508.0625,126404.17386241934
1.3360000000000001,933492,120845.13784890977
1.3380000000000001,928430.75,122391.34032220532
1.3400000000000001,920558.625,130646.61473508897
1.3420000000000001,915755.625,145143.73668749889
1.3440000000000001,911162.5625,165353.60797171033
1.3460000000000001,905194.5625,190695.02188250513
1.3480000000000001,901741.25,220544.778422509
1.3500000000000001,900887.125,254247.92690309326
1.3520000000000001,895919.375,291127.92928154132
